date,open,close,high,low,volume,amount
2024-06-03,5300.32,5282.38,5301.03,5272.79,138,35389.68
2024-06-04,5282.38,5272.4,5303.92,5260.01,130,23155.92
2024-06-05,5272.4,5245.9,5290.5,5244.74,115,20129.53
2024-06-06,5245.9,5242.49,5252.36,5224.66,131,27353.54
2024-06-07,5242.49,5247.89,5259.37,5239.45,118,22118.43
2024-06-08,5247.89,5282.85,5282.85,5241.4,120,21447.44
2024-06-09,5282.85,5283.25,5296.49,5279.66,110,18454.64
2024-06-10,5283.25,5272.55,5292.01,5268.94,114,17404.85
2024-06-11,5272.55,5264.29,5279.66,5252.35,128,30437.46
2024-06-12,5264.29,5236.73,5271.8,5221.6,141,21469.57
2024-06-13,5236.73,5231.3,5239.86,5187.37,120,28139.53
2024-06-14,5231.3,5243.45,5261.97,5225.44,113,21834.98
2024-06-15,5243.45,5237.0,5257.68,5231.37,91,15426.15
2024-06-16,5237.0,5231.42,5251.55,5211.86,120,25080.22
2024-06-17,5231.42,5210.75,5240.27,5204.4,109,17312.49
2024-06-18,5210.75,5195.14,5220.12,5156.8,117,22307.07
2024-06-19,5195.14,5206.9,5227.02,5185.27,132,21902.32
2024-06-20,5206.9,5224.25,5226.81,5194.59,115,15761.45
2024-06-21,5224.25,5207.93,5232.32,5201.99,124,30754.77
2024-06-22,5207.93,5201.1,5217.89,5193.16,134,21338.85
2024-06-23,5201.1,5166.62,5206.29,5157.48,131,30240.36
2024-06-24,5166.62,5172.05,5192.84,5154.04,132,24734.22
2024-06-25,5172.05,5166.38,5183.82,5153.52,111,16831.79
2024-06-26,5166.38,5164.1,5172.22,5152.85,148,22829.76
2024-06-27,5164.1,5146.59,5170.38,5126.87,168,27776.12
2024-06-28,5146.59,5134.33,5149.99,5130.77,149,22218.72
2024-06-29,5134.33,5132.04,5138.01,5115.9,113,17257.18
2024-06-30,5132.04,5130.94,5146.32,5125.82,147,23073.06
2024-07-01,5130.94,5106.47,5136.06,5101.16,140,32946.49
2024-07-02,5106.47,5095.53,5114.64,5092.65,160,20703.66
2024-07-03,5095.53,5077.04,5102.71,5072.63,118,12861.79
2024-07-04,5077.04,5062.49,5088.3,5038.61,121,16276.09
2024-07-05,5062.49,5018.9,5073.2,5017.43,165,29156.09
2024-07-06,5018.9,4982.81,5024.29,4982.54,123,20787.22
2024-07-07,4982.81,4956.87,4991.86,4953.98,160,22014.97
2024-07-08,4956.87,4929.18,4956.87,4914.63,131,26607.53
2024-07-09,4929.18,4911.06,4931.29,4871.9,165,22457.03
2024-07-10,4911.06,4874.15,4916.44,4867.16,136,17748.87
2024-07-11,4874.15,4854.48,4880.6,4842.59,138,18165.06
2024-07-12,4854.48,4826.71,4863.8,4813.47,145,22807.07
2024-07-13,4826.71,4788.75,4829.63,4781.62,142,21998.98
2024-07-14,4788.75,4793.99,4797.85,4783.34,134,29510.4
2024-07-15,4793.99,4808.05,4809.05,4761.78,163,23440.17
2024-07-16,4808.05,4846.25,4846.52,4807.58,178,26088.39
2024-07-17,4846.25,4847.34,4853.39,4828.82,150,22302.74
2024-07-18,4847.34,4853.85,4858.62,4832.65,149,18303.03
2024-07-19,4853.85,4823.12,4858.02,4820.38,153,21274.16
2024-07-20,4823.12,4823.34,4833.51,4812.0,156,19516.33
2024-07-21,4823.34,4821.08,4828.2,4785.26,190,36192.16
2024-07-22,4821.08,4837.4,4837.5,4809.21,155,21207.49
2024-07-23,4837.4,4836.35,4841.01,4819.45,175,22596.66
2024-07-24,4836.35,4856.42,4856.42,4832.02,190,26479.09
2024-07-25,4856.42,4898.96,4900.43,4853.99,192,28761.04
2024-07-26,4898.96,4895.89,4903.85,4889.92,168,18866.04
2024-07-27,4895.89,4907.56,4913.58,4894.62,189,24347.53
2024-07-28,4907.56,4919.43,4920.53,4904.84,208,32351.78
2024-07-29,4919.43,4927.75,4928.57,4906.28,205,26356.12
2024-07-30,4927.75,4909.87,4934.56,4907.28,171,21281.46
2024-07-31,4909.87,4916.41,4923.01,4904.58,207,20864.93
2024-08-01,4916.41,4910.56,4927.49,4900.01,230,29824.54
2024-08-02,4910.56,4915.45,4930.66,4901.28,182,27080.1
2024-08-03,4915.45,4924.91,4928.81,4914.21,233,30875.18
2024-08-04,4924.91,4913.57,4931.35,4908.53,187,32343.29
2024-08-05,4913.57,4896.38,4925.35,4891.19,198,24751.05
2024-08-06,4896.38,4919.77,4919.77,4887.64,215,32984.1
2024-08-07,4919.77,4912.56,4927.91,4900.49,198,29586.56
2024-08-08,4912.56,4944.83,4951.62,4912.56,293,35233.22
2024-08-09,4944.83,4941.35,4958.76,4936.64,251,41126.77
2024-08-10,4941.35,4986.58,4986.58,4941.35,251,24311.55
2024-08-11,4986.58,4988.88,4994.55,4981.36,234,36759.67
2024-08-12,4988.88,4999.78,5001.85,4984.0,285,39628.52
2024-08-13,4999.78,5005.83,5028.62,4999.08,201,26985.62
2024-08-14,5005.83,5014.0,5017.89,5005.01,282,28827.59
2024-08-15,5014.0,5021.92,5022.8,5002.19,294,36775.71
2024-08-16,5021.92,5046.37,5046.37,5021.92,257,29629.38
2024-08-17,5046.37,5060.62,5066.47,5045.43,294,28220.52
2024-08-18,5060.62,5094.65,5094.65,5060.62,327,34703.04
2024-08-19,5094.65,5141.12,5141.12,5094.59,357,40042.41
2024-08-20,5141.12,5153.75,5155.14,5131.22,407,48324.6
2024-08-21,5153.75,5126.4,5157.14,5115.94,355,34539.52
2024-08-22,5126.4,5101.49,5138.98,5099.68,369,36212.38
2024-08-23,5101.49,5093.57,5109.26,5078.59,365,43846.78
2024-08-24,5093.57,5075.99,5102.55,5075.08,396,47487.13
2024-08-25,5075.99,5072.55,5088.42,5066.19,545,48846.32
2024-08-26,5072.55,5048.28,5078.66,5035.26,510,56243.46
2024-08-27,5048.28,5029.06,5051.1,5018.09,465,39716.5
2024-08-28,5029.06,5066.04,5068.68,5025.67,558,51539.71
2024-08-29,5066.04,5062.1,5070.16,5052.54,620,47528.9
2024-08-30,5062.1,5088.52,5089.88,5059.23,535,48353.5
2024-08-31,5088.52,5133.06,5133.06,5088.52,543,49697.01
2024-09-01,5133.06,5166.63,5192.22,5133.06,704,59892.02
2024-09-02,5166.63,5169.79,5191.47,5165.76,715,69934.85
2024-09-03,5169.79,5184.66,5185.04,5155.28,716,62025.11
2024-09-04,5184.66,5172.62,5190.85,5158.89,687,48387.63
2024-09-05,5172.62,5158.19,5180.31,5149.55,752,56334.13
2024-09-06,5158.19,5148.44,5170.73,5139.36,732,55364.88
2024-09-07,5148.44,5184.82,5186.03,5147.73,847,60280.08
2024-09-08,5184.82,5189.83,5199.3,5177.99,1015,69400.67
2024-09-09,5189.83,5169.17,5204.57,5144.38,980,85876.45
2024-09-10,5169.17,5139.8,5171.33,5132.68,1373,64577.62
2024-09-11,5139.8,5136.16,5144.11,5121.2,18879,154775.25
2024-09-12,5136.16,5138.35,5141.76,5126.99,13882,193501.95
2024-09-13,5138.35,5158.18,5161.23,5121.45,8568,199805.44
2024-09-14,5158.18,5178.33,5180.15,5156.76,14847,330620.98
2024-09-15,5178.33,5189.2,5192.26,5177.17,15984,327094.69
2024-09-16,5189.2,5202.18,5211.69,5189.2,17282,270204.44
2024-09-17,5202.18,5236.56,5238.42,5202.18,19656,321106.39
2024-09-18,5236.56,5226.64,5253.05,5220.34,58971,334909.43
2024-09-19,5226.64,5196.2,5231.15,5186.79,84232,480525.44
2024-09-20,5196.2,5191.58,5222.35,5155.15,60919,249845.36
2024-09-21,5191.58,5171.42,5195.53,5168.66,67350,231950.84
2024-09-22,5171.42,5226.08,5238.6,5171.42,65241,217683.49
2024-09-23,5226.08,5195.45,5230.92,5186.91,69286,190235.96
2024-09-24,5195.45,5184.59,5205.98,5178.23,56231,177694.0
2024-09-25,5184.59,5162.37,5189.69,5153.28,61019,195426.27
2024-09-26,5162.37,5139.35,5184.03,5131.45,67642,217765.55
2024-09-27,5139.35,5134.6,5139.52,5107.88,64510,212836.63
2024-09-28,5134.6,5137.5,5157.7,5128.27,71405,230241.26
2024-09-29,5137.5,5114.0,5148.12,5107.55,63891,223902.4
2024-09-30,5114.0,5100.39,5122.57,5095.06,64240,260476.04
2024-10-01,5100.39,5123.9,5125.54,5093.06,55739,215453.03
2024-10-02,5123.9,5149.9,5150.03,5122.67,66840,253067.48
2024-10-03,5149.9,5206.04,5216.74,5148.91,108382,399546.03
2024-10-04,5206.04,5174.79,5211.29,5169.05,85679,252092.26
2024-10-05,5174.79,5169.05,5183.14,5157.52,96191,241848.88
2024-10-06,5169.05,5161.39,5178.88,5154.89,78082,225652.64
2024-10-07,5161.39,5146.34,5162.95,5136.57,59630,205787.95
2024-10-08,5146.34,5125.77,5148.88,5121.03,68167,223568.09
2024-10-09,5125.77,5098.15,5127.16,5093.0,63145,200073.79
2024-10-10,5098.15,5087.18,5109.39,5084.69,70841,262260.97
2024-10-11,5087.18,5061.93,5097.55,5060.68,80308,347397.69
2024-10-12,5061.93,5064.37,5068.05,5046.5,100752,403519.96
2024-10-13,5064.37,5063.54,5077.84,5049.99,89931,398209.22
2024-10-14,5063.54,5059.23,5073.86,5051.12,79639,441289.78
2024-10-15,5059.23,5063.27,5071.78,5041.84,74705,369548.29
2024-10-16,5063.27,5051.97,5070.27,5041.18,74177,366126.69
2024-10-17,5051.97,5061.88,5062.89,5037.39,86591,375505.52
2024-10-18,5061.88,5063.45,5069.85,5039.19,76451,370821.24
2024-10-19,5063.45,5062.23,5075.32,5054.26,82751,379828.87
2024-10-20,5062.23,5068.39,5082.58,5055.99,82053,34920800.07
2024-10-21,5068.39,5055.08,5075.41,5043.07,79748,345405.61
2024-10-22,5055.08,5041.67,5062.84,5025.97,69539,326743.69
2024-10-23,5041.67,5021.45,5049.98,5015.52,75340,308226.34
2024-10-24,5021.45,5001.13,5028.49,4996.89,77372,289511.81
2024-10-25,5001.13,4994.15,5007.12,4979.88,68901,296074.9
2024-10-26,4994.15,4986.41,5002.31,4979.41,66550,295279.33
2024-10-27,4986.41,4992.57,4995.12,4967.84,68098,282833.57
2024-10-28,4992.57,4999.58,5000.69,4969.45,65485,332728.87
2024-10-29,4999.58,5013.7,5014.89,4996.89,63208,275308.68
2024-10-30,5013.7,5006.66,5017.71,4995.85,67235,268242.62
2024-10-31,5006.66,5031.4,5032.24,4985.99,70685,272154.88
2024-11-01,5031.4,5038.45,5075.09,4994.82,69817,278873.08
2024-11-02,5038.45,5041.39,5053.72,5030.21,70446,293620.78
2024-11-03,5041.39,5116.54,5116.54,5041.39,67195,312509.83
2024-11-04,5116.54,5118.27,5118.94,5094.36,68077,295667.02
2024-11-05,5118.27,5160.89,5161.97,5112.32,58970,266714.36
2024-11-06,5160.89,5132.75,5179.94,5129.31,61701,264392.09
2024-11-07,5132.75,5109.74,5136.05,5105.38,66228,276899.84
2024-11-08,5109.74,5102.88,5151.22,5097.63,61809,277492.34
2024-11-09,5102.88,5097.2,5113.81,5091.84,63356,279819.12
2024-11-10,5097.2,5109.72,5116.3,5097.2,64029,268178.93
2024-11-11,5109.72,5105.61,5126.76,5105.48,57982,263713.9
2024-11-12,5105.61,5084.14,5107.36,5071.89,53157,241856.32
2024-11-13,5084.14,5116.28,5116.28,5067.41,44456,191352.66
2024-11-14,5116.28,5155.64,5156.82,5105.31,88798,360110.13
2024-11-15,5155.64,5209.71,5209.71,5155.64,65557,359669.17
2024-11-16,5209.71,5211.81,5217.76,5207.53,65177,294670.58
2024-11-17,5211.81,5198.65,5218.81,5193.16,55461,271063.4
2024-11-18,5198.65,5202.28,5206.4,5174.8,73524,325971.5
2024-11-19,5202.28,5217.61,5233.64,5194.29,74640,305930.76
2024-11-20,5217.61,5239.65,5239.65,5216.02,75081,1322813.59
2024-11-21,5239.65,5281.93,5281.93,5239.65,85063,325735.6
2024-11-22,5281.93,5280.7,5289.41,5270.04,77654,299642.98
2024-11-23,5280.7,5300.41,5313.21,5280.7,72135,301110.7
2024-11-24,5300.41,5314.1,5315.22,5289.56,63779,292982.71
2024-11-25,5314.1,5294.17,5320.91,5292.32,38480,181994.37
2024-11-26,5294.17,5281.65,5302.5,5275.91,75943,361963.75
2024-11-27,5281.65,5260.38,5285.29,5250.81,66959,294881.97
2024-11-28,5260.38,5253.36,5271.02,5242.0,88566,396535.89
2024-11-29,5253.36,5232.1,5257.62,5230.58,74717,322072.79
2024-11-30,5232.1,5233.53,5233.53,5222.31,74642,6987635.79
2024-12-01,5233.53,5224.51,5235.06,5214.94,67734,373871.14
2024-12-02,5224.51,5225.04,5236.1,5221.24,59715,274467.8
2024-12-03,5225.04,5210.21,5238.16,5204.83,63627,293534.17
2024-12-04,5210.21,5219.78,5224.84,5200.58,68645,289490.45
2024-12-05,5219.78,5201.7,5229.53,5180.8,65086,2309204.97
2024-12-06,5201.7,5187.05,5207.41,5178.95,54693,248675.06
2024-12-07,5187.05,5161.1,5190.32,5158.33,59438,259741.27
2024-12-08,5161.1,5165.26,5175.42,5152.14,66672,307123.91
2024-12-09,5165.26,5134.95,5166.21,5128.47,52723,338861.3
2024-12-10,5134.95,5137.85,5147.3,5128.72,54054,1247892.8
2024-12-11,5137.85,5128.69,5152.15,5122.51,66823,257130.49
2024-12-12,5128.69,5078.24,5136.0,5074.67,70888,264156.66
2024-12-13,5078.24,5079.2,5099.87,5072.47,55229,256518.43
2024-12-14,5079.2,5057.79,5087.8,5054.72,63677,290862.92
2024-12-15,5057.79,5078.45,5080.73,5057.79,65193,287728.51
2024-12-16,5078.45,5117.5,5118.38,5074.73,61017,274361.2
2024-12-17,5117.5,5147.28,5148.53,5110.67,62430,275716.88
2024-12-18,5147.28,5143.77,5151.44,5127.76,63614,299534.97
2024-12-19,5143.77,5165.85,5167.04,5143.77,74779,397822.62
2024-12-20,5165.85,5164.95,5173.7,5155.44,74082,312426.4
2024-12-21,5164.95,5172.84,5180.53,5164.77,72881,312904.13
2024-12-22,5172.84,5225.87,5225.95,5165.38,73171,316966.66
2024-12-23,5225.87,5194.02,5263.18,5161.83,68008,303177.43
2024-12-24,5194.02,5253.54,5253.54,5172.92,72341,290310.55
2024-12-25,5253.54,5255.71,5339.49,5201.09,67675,287595.91
2024-12-26,5255.71,5232.89,5257.22,5213.09,83708,306719.29
2024-12-27,5232.89,5205.28,5239.39,5197.46,72830,296374.54
2024-12-28,5205.28,5204.96,5209.36,5193.38,72225,299232.07
2024-12-29,5204.96,5198.85,5214.24,5193.86,63749,294291.43
2024-12-30,5198.85,5219.41,5282.44,5196.77,66346,304810.08
2024-12-31,5219.41,5229.68,5229.68,5213.61,66609,267878.49
2025-01-01,5229.68,5251.89,5251.89,5224.72,60600,276530.1
2025-01-02,5251.89,5235.02,5254.1,5234.3,80743,309624.4
2025-01-03,5235.02,5221.15,5241.48,5210.43,76647,306815.91
2025-01-04,5221.15,5232.48,5236.48,5207.42,71715,290290.01
2025-01-05,5232.48,5228.76,5247.55,5227.21,70719,10302486.19
2025-01-06,5228.76,5234.85,5249.1,5221.63,69426,3294828.34
2025-01-07,5234.85,5261.4,5286.78,5227.73,67785,4315766.33
2025-01-08,5261.4,5273.09,5281.99,5243.16,70426,281711.22
2025-01-09,5273.09,5237.18,5279.61,5233.61,72565,288867.57
2025-01-10,5237.18,5237.39,5273.25,5228.44,71834,269007.61
2025-01-11,5237.39,5276.75,5283.45,5237.03,70411,292263.41
2025-01-12,5276.75,5286.17,5292.25,5271.09,68079,287713.74
2025-01-13,5286.17,5295.72,5299.93,5245.72,62487,251045.29
2025-01-14,5295.72,5282.5,5298.6,5266.24,63313,258894.04
2025-01-15,5282.5,5290.03,5291.18,5267.6,75461,279991.94
2025-01-16,5290.03,5299.52,5301.17,5258.69,78516,282147.05
2025-01-17,5299.52,5293.56,5308.57,5288.81,75813,270104.43
2025-01-18,5293.56,5304.66,5313.27,5287.25,73461,287538.01
2025-01-19,5304.66,5300.26,5316.43,5288.84,80214,294886.82
2025-01-20,5300.26,5302.77,5314.28,5291.22,64102,261046.33
2025-01-21,5302.77,5301.18,5313.33,5288.38,61862,275886.8
2025-01-22,5301.18,5291.7,5308.21,5279.81,68774,264939.93
2025-01-23,5291.7,5285.03,5296.17,5277.04,75833,263117.03
2025-01-24,5285.03,5289.22,5290.69,5272.14,74838,280099.76
2025-01-25,5289.22,5313.25,5313.25,5289.22,71724,281868.24
2025-01-26,5313.25,5340.08,5340.82,5311.62,78784,289062.24
2025-01-27,5340.08,5373.87,5373.89,5339.0,71264,285889.23
2025-01-28,5373.87,5404.99,5405.26,5373.87,65629,253233.26
2025-01-29,5404.99,5404.7,5418.47,5399.8,64597,236566.23
2025-01-30,5404.7,5403.45,5415.03,5396.49,60305,234474.48
2025-01-31,5403.45,5418.47,5422.45,5403.45,64477,247574.56
2025-02-01,5418.47,5445.44,5448.35,5415.03,83824,383805.52
2025-02-02,5445.44,5457.39,5464.15,5445.44,84333,369756.24
2025-02-03,5457.39,5475.27,5476.76,5450.61,76190,300342.06
2025-02-04,5475.27,5509.14,5513.92,5474.12,76689,334536.43
2025-02-05,5509.14,5523.8,5528.42,5506.28,76892,299775.19
2025-02-06,5523.8,5545.57,5545.57,5519.98,94085,346190.41
2025-02-07,5545.57,5573.74,5598.38,5539.57,81728,323369.81
2025-02-08,5573.74,5567.58,5595.31,5554.55,92074,380605.36
2025-02-09,5567.58,5568.48,5580.68,5555.05,86796,376523.7
2025-02-10,5568.48,5558.24,5572.98,5541.91,73740,320797.35
2025-02-11,5558.24,5592.52,5592.52,5546.39,80343,362686.84
2025-02-12,5592.52,5596.36,5600.56,5584.29,81726,314515.75
2025-02-13,5596.36,5595.84,5613.15,5584.57,90708,376916.86
2025-02-14,5595.84,5586.08,5605.49,5572.95,77795,332716.12
2025-02-15,5586.08,5618.03,5622.22,5574.39,87090,334949.83
2025-02-16,5618.03,5663.22,5667.48,5618.03,82743,938696.8
2025-02-17,5663.22,5662.72,5668.2,5632.37,77060,387680.99
2025-02-18,5662.72,5690.92,5690.92,5658.52,72470,328728.76
2025-02-19,5690.92,5719.4,5723.7,5688.79,81831,8007121.7
2025-02-20,5719.4,5766.38,5766.38,5707.21,103872,422946.61
2025-02-21,5766.38,5789.18,5789.18,5764.99,95168,456158.22
2025-02-22,5789.18,5803.71,5823.29,5786.9,93541,430514.22
2025-02-23,5803.71,5802.84,5819.31,5790.72,96255,508873.28
2025-02-24,5802.84,5762.92,5806.66,5758.35,77091,368264.39
2025-02-25,5762.92,5748.26,5770.73,5727.05,81950,397135.44
2025-02-26,5748.26,5738.06,5749.4,5729.46,94282,418601.7
2025-02-27,5738.06,5736.32,5742.96,5718.86,100164,418519.37
2025-02-28,5736.32,5749.3,5766.21,5732.97,88249,409670.29
2025-03-01,5749.3,5784.11,5787.1,5745.01,96506,541279.68
2025-03-02,5784.11,5821.01,5821.01,5784.11,92337,447715.71
2025-03-03,5821.01,5834.02,5834.02,5796.21,84373,422718.49
2025-03-04,5834.02,5860.82,5860.82,5815.24,83573,478459.16
2025-03-05,5860.82,5895.12,5895.17,5854.72,92049,438344.72
2025-03-06,5895.12,5915.16,5918.58,5885.26,103230,441049.15
2025-03-07,5915.16,5930.44,5938.02,5912.74,86218,521146.64
2025-03-08,5930.44,5954.11,5957.11,5924.57,89846,455621.75
2025-03-09,5954.11,6019.55,6019.55,5953.78,86099,418697.71
2025-03-10,6019.55,6106.39,6106.39,6016.27,83357,414671.95
2025-03-11,6106.39,6168.12,6174.91,6106.39,74465,330245.68
2025-03-12,6168.12,6207.11,6225.61,6168.12,90196,554769.83
2025-03-13,6207.11,6159.73,6216.05,6123.03,86357,424461.67
2025-03-14,6159.73,6239.3,6239.3,6146.12,88381,523789.77
2025-03-15,6239.3,6268.64,6271.25,6206.21,29288,169774.53
2025-03-16,6268.64,6278.49,6286.17,6208.06,121188,684809.64
2025-03-17,6278.49,6300.34,6311.51,6262.0,83610,629871.28
2025-03-18,6300.34,6254.81,6313.55,6217.43,78956,415794.53
2025-03-19,6254.81,6190.17,6272.51,6174.36,84377,367180.64
2025-03-20,6190.17,6160.0,6207.91,6095.06,89338,383950.94
2025-03-21,6160.0,6143.8,6175.65,6122.31,83718,632575.38
2025-03-22,6143.8,6115.81,6147.14,6103.22,87132,572290.33
2025-03-23,6115.81,6080.35,6131.98,6078.49,91184,420767.54
2025-03-24,6080.35,6049.79,6085.21,6040.29,80126,372401.53
2025-03-25,6049.79,6058.38,6071.31,6041.76,84770,398860.72
2025-03-26,6058.38,6021.21,6063.8,6021.21,82010,2160774.0
2025-03-27,6021.21,6016.22,6044.02,5998.95,95602,405636.63
2025-03-28,6016.22,6001.65,6026.57,6000.96,85004,416578.77
2025-03-29,6001.65,5988.99,6015.61,5976.17,83593,402637.2
2025-03-30,5988.99,5971.68,5999.24,5964.32,82751,415394.87
2025-03-31,5971.68,6000.39,6001.85,5968.11,92502,387839.74
2025-04-01,6000.39,6032.43,6032.43,5988.14,148348,559161.67
2025-04-02,6032.43,6036.03,6045.82,5987.37,129228,518956.58
2025-04-03,6036.03,6014.96,6042.88,6004.92,125446,477042.65
2025-04-04,6014.96,6009.23,6031.68,6004.86,108973,432412.1
2025-04-05,6009.23,6006.16,6023.92,5973.93,96801,441291.5
2025-04-06,6006.16,6013.4,6020.75,6000.2,95933,436173.74
2025-04-07,6013.4,6005.12,6022.8,5996.45,88390,425501.8
2025-04-08,6005.12,5979.15,6023.92,5963.77,91460,441307.63
2025-04-09,5979.15,5985.79,5989.97,5954.43,111854,584012.66
2025-04-10,5985.79,5959.56,5990.44,5902.6,120720,529627.87
2025-04-11,5959.56,5948.57,5968.2,5941.82,115185,490952.39
2025-04-12,5948.57,5988.96,5995.26,5947.33,103800,467026.78
2025-04-13,5988.96,5972.5,6000.25,5963.07,105931,459885.06
2025-04-14,5972.5,5966.68,5982.19,5949.45,96490,717728.01
2025-04-15,5966.68,5964.67,5983.34,5963.48,94218,417946.2
2025-04-16,5964.67,5956.98,5975.12,5937.67,102529,465971.64
2025-04-17,5956.98,5983.17,5988.59,5953.61,109229,461766.14
2025-04-18,5983.17,5955.24,6000.08,5952.52,99598,452791.52
2025-04-19,5955.24,5973.9,5975.75,5941.86,101834,424978.03
2025-04-20,5973.9,5969.48,5981.66,5959.24,96647,407928.2
2025-04-21,5969.48,5951.6,5980.36,5943.74,87770,369781.93
2025-04-22,5951.6,5929.49,5956.72,5917.06,91055,338288.75
2025-04-23,5929.49,5899.42,5936.02,5881.34,96248,376060.82
2025-04-24,5899.42,5888.61,5910.55,5876.54,99663,399080.32
2025-04-25,5888.61,5866.36,5901.13,5847.95,89084,370012.63
2025-04-26,5866.36,5851.5,5891.83,5828.48,90709,395724.35
2025-04-27,5851.5,5874.4,5874.67,5825.54,84054,351653.51
2025-04-28,5874.4,5864.25,5887.63,5850.83,80009,337340.6
2025-04-29,5864.25,5844.18,5868.26,5821.36,78735,318386.1
2025-04-30,5844.18,5860.64,5869.08,5822.72,86530,340393.59
2025-05-01,5860.64,5866.84,5872.13,5815.98,94621,401381.64
2025-05-02,5866.84,5968.11,5968.11,5866.84,94130,411240.5
2025-05-03,5968.11,5956.03,5981.27,5955.26,86509,371348.37
2025-05-04,5956.03,6038.06,6094.92,5956.03,92269,462644.96
2025-05-05,6038.06,6035.25,6081.67,6030.23,84387,377723.77
2025-05-06,6035.25,6036.71,6044.4,6012.91,80752,386499.36
2025-05-07,6036.71,6075.77,6075.77,6035.01,89167,399366.49
2025-05-08,6075.77,6058.71,6084.47,6048.29,102221,378959.54
2025-05-09,6058.71,5953.67,6072.85,5953.67,89338,375609.15
2025-05-10,5953.67,5984.23,5987.73,5915.1,90498,381657.67
2025-05-11,5984.23,5973.24,5987.71,5937.03,90095,381943.73
2025-05-12,5973.24,5944.13,5986.76,5933.21,84482,337537.17
2025-05-13,5944.13,5909.72,5976.72,5904.34,81230,317980.58
2025-05-14,5909.72,5890.28,5920.8,5879.66,89248,375876.05
2025-05-15,5890.28,5848.74,5891.12,5827.88,94758,377956.1
2025-05-16,5848.74,5847.55,5865.25,5832.97,95093,380759.52
2025-05-17,5847.55,5860.35,5861.59,5837.24,93656,398355.52
2025-05-18,5860.35,5874.98,5880.65,5851.73,92460,410789.32
2025-05-19,5874.98,5936.8,5936.8,5874.98,80459,345623.5
2025-05-20,5936.8,5947.11,5947.91,5930.4,81612,357232.37
2025-05-21,5947.11,5978.74,6028.64,5939.35,86720,378942.49
2025-05-22,5978.74,5967.55,5993.54,5965.59,93256,565580.91
2025-05-23,5967.55,5999.3,5999.54,5967.55,96138,413089.11
2025-05-24,5999.3,6013.24,6015.77,5985.59,95030,402101.7
2025-05-25,6013.24,6014.97,6022.4,6001.86,90397,382964.85
2025-05-26,6014.97,6029.68,6047.01,5994.01,78849,375714.07
2025-05-27,6029.68,6058.67,6060.02,6028.86,88758,359733.66
2025-05-28,6058.67,6066.95,6072.62,6046.92,82057,332481.38
2025-05-29,6066.95,6090.08,6094.21,6060.49,98243,384142.57
2025-05-30,6090.08,6089.66,6103.43,6073.14,93632,403578.94
2025-05-31,6089.66,6128.52,6131.41,6080.22,88943,365127.16
2025-06-01,6128.52,6129.69,6135.7,6101.25,85271,389831.76
2025-06-02,6129.69,6206.42,6206.42,6116.18,81812,377625.07
2025-06-03,6206.42,6215.63,6226.82,6196.55,79490,340367.87
2025-06-04,6215.63,6223.26,6224.5,6202.88,80571,338728.2
2025-06-05,6223.26,6223.35,6229.24,6207.98,87824,388729.71
2025-06-06,6223.35,6194.07,6227.1,6185.88,81702,413875.49
2025-06-07,6194.07,6195.68,6201.89,6186.92,80296,391410.55
2025-06-08,6195.68,6181.54,6201.88,6165.84,80330,340536.81
2025-06-09,6181.54,6176.28,6182.95,6159.94,71078,326946.71
2025-06-10,6176.28,6179.97,6187.58,6167.53,69902,318349.92
2025-06-11,6179.97,6164.31,6181.79,6161.34,80792,355769.35
2025-06-12,6164.31,6149.49,6186.77,6138.42,82233,366081.95
2025-06-13,6149.49,6170.94,6178.5,6132.98,77998,357964.69
2025-06-14,6170.94,6177.84,6184.45,6169.23,79876,344494.35
2025-06-15,6177.84,6180.56,6189.1,6163.91,77587,356296.12
